the_name,country,matched_university_id,world_rank,overall_score,teaching,research,citations_or_research_quality,international_outlook,industry_income
Grigore T. Popa University of Medicine and Pharmacy,Romania,,1501+,10.3,23.8,10.7,21.5,41.1,23.9
Gubkin Russian State University of Oil and Gas,Russian Federation,1507,1501+,10.3,21.4,10.7,10.3,24.1,44.9
Harran University,Turkey,,1501+,10.3,16.8,9.9,48.1,27.7,19.1
Hatay Mustafa Kemal University,Turkey,,1501+,10.3,14.6,9.4,21.8,21.9,18.1
Hellenic Open University,Greece,890,1501+,10.3,23.8,8.9,44.4,27.3,16.8
Herzen State Pedagogical University of Russia,Russian Federation,1510,1501+,10.3,20.7,12.9,9.8,39.1,18.6
Hitit University,Turkey,,1501+,10.3,22.7,10.7,15.7,29.0,17.8
Industrial University of Tyumen,Russian Federation,,1501+,10.3,20.2,7.9,6.7,24.1,18.9
Instituto Politécnico de Viana do Castelo,Portugal,1353,1501+,10.3,13.8,15.6,38.1,45.3,22.7
International Hellenic University,Greece,892,1501+,10.3,9.8,10.5,48.8,32.2,28.9
Ionian University,Greece,899,1501+,10.3,16.3,11.6,26.0,24.2,23.8
Irkutsk National Research Technical University,Russian Federation,,1501+,10.3,23.0,10.2,16.7,34.4,29.2
Irkutsk State University,Russian Federation,1525,1501+,10.3,18.6,9.8,6.0,27.2,17.4
Istanbul Aydın University,Turkey,,1501+,10.3,21.2,10.0,35.0,56.8,18.4
Istanbul Bilgi University,Turkey,,1501+,10.3,16.3,11.1,38.0,53.5,17.2
Istanbul Okan University,Turkey,,1501+,10.3,26.5,11.0,34.1,58.4,17.8
Ivan Franko National University of Lviv,Ukraine,2018,1501+,10.3,20.5,11.1,11.5,29.7,18.8
Ivane Javakhishvili Tbilisi State University,Georgia,,1501+,10.3,15.0,12.2,15.9,43.1,18.9
Ivanovo State University of Chemistry and Technology,Russian Federation,1527,1501+,10.3,16.9,9.6,7.0,25.4,24.1
Izmir University of Economics,Turkey,,1501+,10.3,16.9,15.6,34.6,31.6,39.2
Jan Evangelista Purkyně University,Czechia,,1501+,10.3,17.1,13.2,15.4,41.9,21.0
Jan Kochanowski University in Kielce,Poland,,1501+,10.3,20.1,11.3,16.4,28.0,19.5
Jean Moulin University – Lyon 3,France,536,1501+,10.3,15.0,13.7,16.0,59.6,29.6
Karabük University,Turkey,,1501+,10.3,15.6,9.8,45.6,50.8,18.7
Karadeniz Technical University,Turkey,,1501+,10.3,24.5,13.8,35.1,27.0,38.9
Karamanoğlu Mehmet Bey University,Turkey,,1501+,10.3,11.7,10.1,49.0,31.8,17.2
Kastamonu University,Turkey,,1501+,10.3,15.3,12.0,44.3,35.1,18.8
Kazan National Research Technological University,Russian Federation,,1501+,10.3,22.0,9.9,10.2,34.8,44.2
Kazan State Medical University,Russian Federation,,1501+,10.3,39.5,11.9,10.1,45.0,20.7
Kazan State Power Engineering University,Russian Federation,,1501+,10.3,13.1,9.8,15.3,25.7,24.7
Kemerovo State University,Russian Federation,1541,1501+,10.3,15.5,11.2,9.9,24.6,18.0
Kharkiv Aviation Institute,Ukraine,,1501+,10.3,21.3,10.7,17.4,32.2,18.8
Kharkiv National University of Radio Electronics,Ukraine,2034,1501+,10.3,20.8,9.0,30.0,29.5,18.6
Kirikkale University,Turkey,,1501+,10.3,17.0,19.6,20.1,20.2,36.0
Kocaeli University,Turkey,,1501+,10.3,14.1,10.4,28.6,25.9,30.5
Konya Technical University,Turkey,,1501+,10.3,19.4,9.4,37.8,25.0,17.3
Kyiv National University of Construction and Architecture,Ukraine,,1501+,10.3,22.6,9.1,41.4,34.2,19.3
Kütahya Dumlupınar University,Turkey,,1501+,10.3,11.5,10.6,25.1,39.2,19.4
Kırşehir Ahi Evran University,Turkey,,1501+,10.3,14.0,11.1,23.8,34.6,21.3
Latvia University of Life Sciences and Technologies,Latvia,1084,1501+,10.3,21.7,15.8,17.9,27.8,24.9
Liverpool Hope University,United Kingdom,2135,1501+,10.3,19.5,16.8,30.2,77.2,19.0
Lobachevsky State University of Nizhni Novgorod,Russian Federation,,1501+,10.3,31.5,13.9,13.8,35.7,35.3
Lodz University of Technology,Poland,,1501+,10.3,25.9,15.8,28.5,33.0,61.8
Lublin University of Technology,Poland,,1501+,10.3,25.8,14.8,31.6,41.8,30.8
Lucian Blaga University of Sibiu,Romania,1421,1501+,10.3,19.0,16.0,42.0,33.9,22.6
Lviv Polytechnic National University,Ukraine,2036,1501+,10.3,20.2,12.0,29.3,27.4,23.3
MIREA - Russian Technological University,Russian Federation,,1501+,10.3,15.9,12.5,8.8,23.2,47.8
Manisa Celal Bayar University,Turkey,,1501+,10.3,14.7,10.0,24.1,23.4,20.6
Maria Curie-Skłodowska University (UMCS),Poland,,1501+,10.3,22.6,21.5,25.8,36.5,22.3
Marmara University,Turkey,,1501+,10.3,25.1,13.7,34.7,31.9,34.7
Matej Bel University,Slovakia,,1501+,10.3,18.9,14.2,18.0,44.7,21.1
Medical University of Sofia,Bulgaria,178,1501+,10.3,26.4,7.3,37.8,48.5,45.9
Mendeleev University of Chemical Technology,Russian Federation,1601,1501+,10.3,22.7,17.2,13.1,26.2,39.6
Mersin University,Turkey,,1501+,10.3,17.2,10.6,25.3,29.0,23.3
Moscow Aviation Institute,Russian Federation,1594,1501+,10.3,33.1,16.2,22.5,30.5,53.0
Moscow Polytechnic University,Russian Federation,,1501+,10.3,15.8,12.4,49.5,28.8,26.1
Moscow Power Engineering Institute,Russian Federation,1589,1501+,10.3,23.2,15.9,20.6,38.6,56.4
Mugla Sitki Kocman University,Turkey,,1501+,10.3,15.6,11.4,21.1,26.4,21.9
Muş Alparslan University,Turkey,,1501+,10.3,12.1,11.0,32.6,21.6,16.8
"National Institute of Applied Sciences, Strasbourg (INSA Strasbourg)",France,,1501+,10.3,23.2,9.3,28.0,69.8,36.9
"National Pirogov Memorial Medical University, Vinnytsya",Ukraine,2074,1501+,10.3,29.9,9.0,4.6,41.4,18.2
National Research University of Electronic Technology (MIET),Russian Federation,1578,1501+,10.3,45.5,15.5,7.9,22.7,52.1
National Technical University Kharkiv Polytechnic Institute,Ukraine,5,1501+,10.3,24.5,9.2,15.7,33.1,19.0
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,Ukraine,,1501+,10.3,21.6,10.6,16.7,22.5,24.0
National University of Life and Environmental Sciences of Ukraine,Ukraine,,1501+,10.3,16.7,9.2,20.5,25.7,23.5
Nizhny Novgorod State Technical University n.a. R.E. Alekseev,Russian Federation,1610,1501+,10.3,20.0,9.0,6.9,28.1,40.8
Niğde Ömer Halisdemir University,Turkey,,1501+,10.3,17.2,10.3,31.0,31.1,20.7
North-Caucasus Federal University,Russian Federation,,1501+,10.3,28.1,8.7,11.3,31.8,19.8
North-Eastern Federal University,Russian Federation,,1501+,10.3,24.3,11.6,12.9,26.8,16.8
North-Western State Medical University named after I.I. Mechnikov,Russian Federation,,1501+,10.3,25.9,10.7,10.1,29.4,19.3
Northern (Arctic) Federal University named after M.V. Lomonosov,Russian Federation,,1501+,10.3,18.9,10.9,9.1,29.3,21.8
Novosibirsk State Technical University,Russian Federation,1615,1501+,10.3,18.1,12.9,14.3,37.9,32.8
Odesa I.I. Mechnikov National University,Ukraine,,1501+,10.3,24.7,9.1,8.5,26.2,16.9
Ogarev Mordovia State University,Russian Federation,,1501+,10.3,25.4,9.6,7.2,35.8,19.6
Oles Honchar Dnipro National University,Ukraine,,1501+,10.3,19.2,9.5,9.1,21.3,17.7
Omsk State Technical University,Russian Federation,1619,1501+,10.3,15.6,8.2,5.0,25.2,19.9
Ondokuz Mayis University,Turkey,,1501+,10.3,19.7,11.3,29.6,37.2,26.2
Ordu University,Turkey,,1501+,10.3,14.2,10.7,27.8,19.4,17.2
Ovidius University of Constanța,Romania,,1501+,10.3,20.1,9.9,14.2,27.2,18.3
Paisii Hilendarski University of Plovdiv,Bulgaria,,1501+,10.3,13.6,12.5,13.7,23.1,21.9
Pamukkale University,Turkey,,1501+,10.3,17.9,10.5,18.8,21.9,28.3
Paris Nanterre University,France,568,1501+,10.3,21.5,16.6,27.0,61.5,35.7
Pavlov First Saint Petersburg State Medical University,Russian Federation,,1501+,10.3,31.7,12.8,15.2,30.6,32.8
Penza State University,Russian Federation,1627,1501+,10.3,16.7,9.4,6.7,32.9,17.8
Perm National Research Polytechnic University,Russian Federation,,1501+,10.3,21.1,16.0,10.6,26.2,51.2
Perm State University,Russian Federation,1632,1501+,10.3,18.4,12.0,7.9,27.8,24.5
Petersburg State Transport University,Russian Federation,,1501+,10.3,16.6,11.4,15.0,39.5,49.0
Petrozavodsk State University,Russian Federation,1538,1501+,10.3,18.2,12.2,14.7,28.8,35.4
Pirogov Russian National Research Medical University,Russian Federation,,1501+,10.3,44.2,14.5,18.2,29.7,40.6
Plekhanov Russian University of Economics,Russian Federation,1635,1501+,10.3,26.8,13.3,25.0,44.2,23.3
Polytechnic Institute of Porto,Portugal,,1501+,10.3,14.7,13.1,40.0,32.3,34.0
Polytechnic Institute of Setúbal,Portugal,,1501+,10.3,18.2,9.1,18.5,35.8,18.1
Polytechnic University of Bucharest,Romania,1428,1501+,10.3,18.7,9.7,30.5,22.6,39.2
Polytechnic University of Timişoara,Romania,1450,1501+,10.3,18.0,9.8,33.6,24.1,36.4
Poznan University of Technology,Poland,,1501+,10.3,25.7,14.0,34.7,31.2,47.7
Prague University of Economics and Business (VŠE),Czechia,,1501+,10.3,17.2,15.0,30.1,52.3,20.3
Privolzhsky Research Medical University,Russian Federation,,1501+,10.3,25.8,12.3,5.9,43.0,19.7
Pázmány Péter Catholic University,Hungary,935,1501+,10.3,23.0,11.7,27.1,36.3,23.2
Recep Tayyip Erdoğan University,Turkey,,1501+,10.3,20.5,12.4,44.2,24.5,30.9
Russian Presidential Academy of National Economy and Public Administration,Russian Federation,,1501+,10.3,23.9,22.5,21.3,24.4,27.3
Russian State University for the Humanities,Russian Federation,1640,1501+,10.3,15.2,13.9,16.2,22.7,16.0
Russian University of Transport (MIIT),Russian Federation,,1501+,10.3,18.1,12.1,8.0,26.4,37.4
Rzeszów University of Technology,Poland,,1501+,10.3,20.1,8.3,23.4,25.7,24.8
SGH Warsaw School of Economics,Poland,1280,1501+,10.3,25.3,21.6,31.8,39.7,16.4
Saint Petersburg State Pediatric Medical University,Russian Federation,,1501+,10.3,25.6,11.2,8.0,35.2,17.5
Saints Cyril and Methodius University in Skopje,North Macedonia,,1501+,10.3,21.3,10.2,23.9,43.8,32.6
Sakarya University of Applied Sciences,Turkey,,1501+,10.3,13.2,9.8,32.7,42.8,16.4
Samara National Research University (Samara University),Russian Federation,,1501+,10.3,27.1,14.1,16.2,31.6,34.2
Samara State Medical University,Russian Federation,1646,1501+,10.3,42.8,10.7,6.0,31.6,33.2
Samara State Technical University,Russian Federation,1676,1501+,10.3,17.0,10.5,8.3,22.1,33.3
Siberian State Medical University,Russian Federation,1673,1501+,10.3,21.3,11.1,4.0,34.8,17.5
Sinop University,Turkey,,1501+,10.3,9.9,12.5,40.8,31.4,18.2
Sivas Cumhuriyet University,Turkey,,1501+,10.3,14.9,9.9,33.4,34.7,19.2
Slovak University of Technology in Bratislava,Slovakia,1787,1501+,10.3,28.7,14.5,24.7,45.0,45.4
Sofia University,Bulgaria,190,1501+,10.3,27.1,12.3,21.7,36.0,24.7
Southern Federal University,Russian Federation,,1501+,10.3,23.8,16.3,24.6,47.6,38.7
St Petersburg Electrotechnical University (LETI),Russian Federation,1492,1501+,10.3,22.2,15.2,19.7,39.1,39.2
"State University ""Kyiv Aviation Institute""",Ukraine,,1501+,10.3,22.3,9.0,34.8,24.5,17.2
Széchenyi István University,Hungary,,1501+,10.3,18.9,13.1,27.8,33.1,27.9
Taras Shevchenko National University of Kyiv,Ukraine,2068,1501+,10.3,25.7,15.4,22.4,30.5,28.6
Technical University of Cartagena,Spain,,1501+,10.3,28.6,13.8,31.2,42.4,41.0
Technical University of Cluj-Napoca,Romania,1447,1501+,10.3,17.8,13.9,36.4,27.3,41.7
Technical University of Crete,Greece,898,1501+,10.3,15.6,15.1,45.0,38.9,45.1
Technical University of Košice,Slovakia,,1501+,10.3,26.8,16.8,26.4,51.7,42.9
Technical University of Liberec,Czechia,,1501+,10.3,22.2,16.9,20.3,47.7,37.6
Technical University of Sofia,Bulgaria,190,1501+,10.3,22.9,11.5,22.1,24.7,37.7
Tekirdağ Namık Kemal University,Turkey,,1501+,10.3,13.1,9.6,17.6,25.0,18.4
Tokat Gaziosmanpaşa University,Turkey,,1501+,10.3,19.0,10.0,36.5,36.3,23.2
Tomsk State University of Control Systems and Radioelectronics,Russian Federation,1708,1501+,10.3,22.9,16.9,15.0,37.5,52.9
Trakia University,Bulgaria,,1501+,10.3,20.9,10.3,8.3,26.9,19.4
Trakya University,Turkey,,1501+,10.3,13.9,9.2,20.5,30.5,19.9
Transilvania University of Brașov,Romania,,1501+,10.3,14.8,13.4,47.7,40.5,35.9
Tula State University,Russian Federation,1704,1501+,10.3,14.0,8.4,4.4,22.4,17.7
UNIR – International University of La Rioja,Spain,,1501+,10.3,12.6,15.6,35.9,57.4,20.6
Ufa State Petroleum Technological University,Russian Federation,1643,1501+,10.3,23.8,7.9,12.4,31.1,17.4
Ukrainian State University of Science and Technologies,Ukraine,,1501+,10.3,19.8,8.9,12.0,24.5,20.9
Universidad Francisco de Vitoria,Spain,1845,1501+,10.3,15.5,12.7,46.3,41.3,18.3
Universidad Loyola,Spain,,1501+,10.3,16.2,16.5,41.9,48.7,20.2
Universidade Lusófona,Portugal,,1501+,10.3,23.6,9.9,36.9,54.9,20.7
University of Chester,United Kingdom,2109,1501+,10.3,19.8,12.9,31.0,69.8,27.9
University of Craiova,Romania,1398,1501+,10.3,16.2,11.5,26.6,25.8,24.2
University of Gdańsk,Poland,1261,1501+,10.3,27.3,15.1,35.3,36.9,31.6
University of Huelva,Spain,1847,1501+,10.3,23.2,16.6,32.6,36.2,28.8
University of La Rochelle,France,533,1501+,10.3,19.7,12.6,33.6,65.5,30.2
University of Life Sciences in Lublin,Poland,,1501+,10.3,24.2,12.0,32.5,23.8,23.4
University of Lodz,Poland,1264,1501+,10.3,24.5,18.5,32.6,37.2,21.7
University of Macedonia,Greece,904,1501+,10.3,17.7,18.0,43.8,27.5,31.8
University of Miskolc,Hungary,942,1501+,10.3,23.8,14.7,21.2,36.4,24.3
University of Montenegro,Montenegro,1133,1501+,10.3,14.0,12.1,24.3,48.3,27.4
University of Northampton,United Kingdom,2174,1501+,10.3,16.1,11.0,40.4,80.3,18.7
University of Novi Sad,Serbia,1775,1501+,10.3,19.9,11.5,32.8,38.8,59.6
University of Oradea,Romania,1403,1501+,10.3,16.5,13.3,31.7,38.5,18.7
University of Ostrava,Czechia,,1501+,10.3,20.0,16.7,32.7,51.1,20.7
University of Pannonia,Hungary,943,1501+,10.3,22.7,17.7,29.9,35.9,31.8
University of Pardubice,Czechia,,1501+,10.3,19.7,18.6,22.8,40.7,37.8
University of Pau and Pays de l’Adour,France,,1501+,10.3,24.4,12.5,20.0,76.2,31.7
University of Primorska,Slovenia,1810,1501+,10.3,20.0,17.4,25.1,62.2,23.0
University of Prishtina,Kosovo,1074,1501+,10.3,13.5,12.6,20.0,40.2,20.5
University of Rijeka,Croatia,210,1501+,10.3,20.1,19.4,31.3,30.6,36.4
University of Rzeszów,Poland,1268,1501+,10.3,22.7,14.0,25.3,28.2,22.7
University of Sarajevo,Bosnia and Herzegovina,163,1501+,10.3,21.2,11.5,23.4,29.5,33.0
University of Silesia in Katowice,Poland,,1501+,10.3,28.0,15.2,28.8,32.4,27.8
University of Sunderland,United Kingdom,2211,1501+,10.3,19.3,9.6,34.6,72.0,33.7
University of Szczecin,Poland,1285,1501+,10.3,23.5,10.0,27.8,30.8,17.4
University of Technology of Troyes,France,,1501+,10.3,31.8,11.4,22.2,75.2,40.4
University of Warmia and Mazury in Olsztyn,Poland,,1501+,10.3,18.2,15.6,41.9,24.6,26.7
University of West Attica,Greece,896,1501+,10.3,10.2,11.6,43.1,25.2,30.1
University of West Bohemia,Czechia,,1501+,10.3,19.6,18.0,35.4,36.7,38.2
University of Western Macedonia,Greece,906,1501+,10.3,13.3,13.0,44.9,26.7,28.7
University of Worcester,United Kingdom,2239,1501+,10.3,17.1,12.0,37.9,59.2,23.6
University of the Arts London,United Kingdom,14,1501+,10.3,23.9,11.8,25.4,74.1,19.3
Université Polytechnique Hauts-de-France,France,,1501+,10.3,17.4,8.3,35.3,68.2,57.7
Université Sorbonne Nouvelle,France,,1501+,10.3,28.0,12.0,23.3,67.3,37.4
Uzhhorod National University,Ukraine,,1501+,10.3,17.6,9.2,6.9,34.4,17.0
Uşak University,Turkey,,1501+,10.3,12.5,10.9,25.8,31.0,17.1
V.N. Karazin Kharkiv National University,Ukraine,,1501+,10.3,26.8,11.2,12.1,46.3,35.2
VILNIUS TECH (Vilnius Gediminas Technical University),Lithuania,1116,1501+,10.3,20.8,17.9,31.0,53.5,47.3
Van Yüzüncü Yil University,Turkey,,1501+,10.3,22.0,19.5,22.4,23.0,30.4
Vasyl Stefanyk Carpathian National University,Ukraine,,1501+,10.3,16.2,10.1,24.0,23.1,16.6
Volgograd State Medical University,Russian Federation,1468,1501+,10.3,24.1,9.3,6.0,41.2,18.3
Volgograd State Technical University,Russian Federation,1745,1501+,10.3,19.0,9.9,10.5,31.7,18.9
Volgograd State University,Russian Federation,1745,1501+,10.3,21.0,12.1,15.4,23.6,16.4
Voronezh State Technical University,Russian Federation,1746,1501+,10.3,20.3,7.9,12.5,27.6,19.7
Voronezh State University,Russian Federation,1746,1501+,10.3,23.5,11.0,7.1,34.9,18.7
Warsaw University of Life Sciences – SGGW,Poland,,1501+,10.3,22.1,12.8,41.4,33.7,33.4
West University of Timişoara,Romania,1451,1501+,10.3,22.7,13.3,43.7,34.7,19.2
Wrocław University of Environmental and Life Sciences,Poland,,1501+,10.3,28.5,13.6,36.1,32.5,34.9
Yeditepe University,Turkey,,1501+,10.3,23.9,14.1,28.9,41.9,57.2
Yerevan State University,Armenia,,1501+,10.3,25.4,9.1,12.4,41.6,22.3
Yuriy Fedkovych Chernivtsi National University,Ukraine,,1501+,10.3,17.9,10.0,10.1,28.8,17.5
Zonguldak Bülent Ecevit University,Turkey,,1501+,10.3,14.9,11.0,26.5,29.3,19.5
Çanakkale Onsekiz Mart University,Turkey,,1501+,10.3,14.3,18.6,19.5,24.7,21.4
Çankırı Karatekin University,Turkey,,1501+,10.3,14.4,18.0,23.0,31.9,17.1
Üsküdar University,Turkey,,1501+,10.3,13.3,9.0,23.6,46.7,19.1
İzmir Kâtip Çelebi University,Turkey,,1501+,10.3,16.5,10.4,25.1,30.1,18.9
Ştefan cel Mare University of Suceava,Romania,,1501+,10.3,17.4,15.8,39.7,37.3,22.0
Abertay University,United Kingdom,,Reporter,,,,,,
Alanya University,Turkey,,Reporter,,,,,,
Aleksandër Moisiu University,Albania,,Reporter,,,,,,
Almazov National Medical Research Centre,Russian Federation,,Reporter,,,,,,
Anglo-American University,Czechia,,Reporter,,,,,,
Ankara Hacı Bayram Veli University,Turkey,,Reporter,,,,,,
Ankara Science University,Turkey,,Reporter,,,,,,
Arkin University of Creative Arts and Design (ARUCAD),Northern Cyprus,,Reporter,,,,,,
Armenian National Agrarian University,Armenia,,Reporter,,,,,,
Armenian State University of Economics,Armenia,,Reporter,,,,,,
Arts University Bournemouth,United Kingdom,,Reporter,,,,,,
Arts University Plymouth,United Kingdom,,Reporter,,,,,,
Artvin Çoruh University,Turkey,,Reporter,,,,,,
Atlas University,Turkey,,Reporter,,,,,,
Audencia,France,2280,Reporter,,,,,,
Avicenna - Batumi Medical University,Georgia,,Reporter,,,,,,
Azerbaijan Medical University,Azerbaijan,,Reporter,,,,,,
Azerbaijan State Agricultural University,Azerbaijan,,Reporter,,,,,,
Azerbaijan State Pedagogical University,Azerbaijan,,Reporter,,,,,,
Azerbaijan University of Architecture and Construction,Azerbaijan,,Reporter,,,,,,
BIMM Music Institute Birmingham,United Kingdom,,Reporter,,,,,,
Baku Engineering University,Azerbaijan,,Reporter,,,,,,
Baku Higher Oil School,Azerbaijan,,Reporter,,,,,,
Baku Slavic University,Azerbaijan,,Reporter,,,,,,
Bandirma Onyedi Eylül University,Turkey,,Reporter,,,,,,
Bath Spa University,United Kingdom,2088,Reporter,,,,,,
Bayburt University,Turkey,,Reporter,,,,,,
Belarusian State Medical University,Belarus,84,Reporter,,,,,,
Belarusian State University of Informatics and Radioelectronics,Belarus,89,Reporter,,,,,,
Beykoz University,Turkey,,Reporter,,,,,,
Bila Tserkva National Agrarian University,Ukraine,,Reporter,,,,,,
Birmingham Newman University,United Kingdom,,Reporter,,,,,,
Bishop Grosseteste University,United Kingdom,,Reporter,,,,,,
Bloomsbury Institute London,United Kingdom,,Reporter,,,,,,
Bohdan Khmelnytsky National University of Cherkasy,Ukraine,,Reporter,,,,,,
Borys Grinchenko Kyiv Metropolitan University,Ukraine,,Reporter,,,,,,
Buckinghamshire New University,United Kingdom,2103,Reporter,,,,,,
Budapest Business School,Hungary,2277,Reporter,,,,,,
Budapest Metropolitan University,Hungary,,Reporter,,,,,,
CESI,France,,Reporter,,,,,,
Carlemany University,Andorra,,Reporter,,,,,,
Catholic University of Ávila,Spain,,Reporter,,,,,,
Central University of Europe,Georgia,,Reporter,,,,,,
Chernihiv Polytechnic National University,Ukraine,,Reporter,,,,,,
Courtauld Institute of Art,United Kingdom,2111,Reporter,,,,,,
Cranfield University,United Kingdom,2113,Reporter,,,,,,
Doğuş University,Turkey,,Reporter,,,,,,
EAE Business School,Spain,,Reporter,,,,,,
ESIC University,Spain,,Reporter,,,,,,
EURECOM,France,,Reporter,,,,,,
Estonian Academy of Arts,Estonia,296,Reporter,,,,,,
Eszterházy Károly Catholic University,Hungary,,Reporter,,,,,,
European University,Georgia,,Reporter,,,,,,
European University Ukraine,Ukraine,,Reporter,,,,,,
European University of Armenia,Armenia,,Reporter,,,,,,
European University of Tirana,Albania,,Reporter,,,,,,
Falmouth University,United Kingdom,2124,Reporter,,,,,,
Final International University,Northern Cyprus,,Reporter,,,,,,
Francisk Skorina Gomel State University,Belarus,,Reporter,,,,,,
Gaziantep Islamic Science and Technology University,Turkey,,Reporter,,,,,,
Glasgow School of Art,United Kingdom,2131,Reporter,,,,,,
Gomel State Medical University,Belarus,97,Reporter,,,,,,
Grodno State Medical University,Belarus,91,Reporter,,,,,,
Guildhall School of Music and Drama,United Kingdom,,Reporter,,,,,,
Harper Adams University,United Kingdom,,Reporter,,,,,,
Hartpury University,United Kingdom,,Reporter,,,,,,
Health Sciences University,United Kingdom,,Reporter,,,,,,
Hryhorii Skovoroda University in Pereiaslav,Ukraine,,Reporter,,,,,,
Häme University of Applied Sciences,Finland,2274,Reporter,,,,,,
IMT Mines Alès,France,,Reporter,,,,,,
Iași University of Life Sciences,Romania,,Reporter,,,,,,
Institute of Cancer Research,United Kingdom,,Reporter,,,,,,
Interregional Academy of Personnel Management (IAPM),Ukraine,,Reporter,,,,,,
Ion Mincu University of Architecture and Urbanism,Romania,1400,Reporter,,,,,,
Istanbul Gedik University,Turkey,,Reporter,,,,,,
Istanbul Kültür University,Turkey,,Reporter,,,,,,
Istanbul Yeni Yuzyil University,Turkey,,Reporter,,,,,,
John von Neumann University,Hungary,,Reporter,,,,,,
Kabardino-Balkarian State University,Russian Federation,1540,Reporter,,,,,,
Kamianets-Podіlskyi Ivan Ohiienko National University,Ukraine,,Reporter,,,,,,
Kayseri University,Turkey,,Reporter,,,,,,
Kharkiv Humanitarian-Pedagogical Academy,Ukraine,,Reporter,,,,,,
Kharkiv International Medical University,Ukraine,2031,Reporter,,,,,,
Kharkiv National University of Internal Affairs,Ukraine,2066,Reporter,,,,,,
Kharkiv University of Humanities “People’s Ukrainian Academy”,Ukraine,,Reporter,,,,,,
Kherson State Agrarian and Economic University,Ukraine,,Reporter,,,,,,
Kherson State Maritime Academy,Ukraine,,Reporter,,,,,,
Kherson State University,Ukraine,2067,Reporter,,,,,,
Khmelnytskyi National University,Ukraine,,Reporter,,,,,,
King Danylo University,Ukraine,,Reporter,,,,,,
Klaipeda University,Lithuania,1105,Reporter,,,,,,
Kocaeli Health and Technology University,Turkey,,Reporter,,,,,,
Krasnoyarsk State Medical University,Russian Federation,,Reporter,,,,,,
Krok University,Ukraine,,Reporter,,,,,,
Kursk State Medical University,Russian Federation,1553,Reporter,,,,,,
Kyiv National Economic University,Ukraine,,Reporter,,,,,,
Kyiv National University of Technologies and Design,Ukraine,,Reporter,,,,,,
Kütahya Health Sciences University,Turkey,,Reporter,,,,,,
Lankaran State University,Azerbaijan,,Reporter,,,,,,
Leeds Arts University,United Kingdom,,Reporter,,,,,,
Leeds Conservatoire,United Kingdom,,Reporter,,,,,,
Leeds Trinity University,United Kingdom,2243,Reporter,,,,,,
Lesya Ukrainka Volyn National University,Ukraine,,Reporter,,,,,,
Liverpool Institute for Performing Arts,United Kingdom,,Reporter,,,,,,
Liverpool School of Tropical Medicine,United Kingdom,,Reporter,,,,,,
London Academy of Music and Dramatic Art (LAMDA),United Kingdom,,Reporter,,,,,,
London Business School,United Kingdom,2163,Reporter,,,,,,
London Film School,United Kingdom,,Reporter,,,,,,
London School of Hygiene and Tropical Medicine,United Kingdom,2165,Reporter,,,,,,
Lutsk National Technical University,Ukraine,,Reporter,,,,,,
Malatya Turgut Ozal University,Turkey,,Reporter,,,,,,
Mardin Artuklu University,Turkey,,Reporter,,,,,,
Maritime University of Szczecin,Poland,1316,Reporter,,,,,,
Medizinische Hochschule Hannover,Germany,771,Reporter,,,,,,
Mingachevir State University (MSU),Azerbaijan,,Reporter,,,,,,
Moscow City University,Russian Federation,,Reporter,,,,,,
Moscow State Linguistic University,Russian Federation,,Reporter,,,,,,
Moscow State Tchaikovsky Conservatory,Russian Federation,1588,Reporter,,,,,,
National Film and Television School,United Kingdom,,Reporter,,,,,,
National Polytechnic University of Armenia,Armenia,,Reporter,,,,,,
National Transport University,Ukraine,2046,Reporter,,,,,,
National University Odessa Law Academy,Ukraine,,Reporter,,,,,,
National University of Food Technologies,Ukraine,2072,Reporter,,,,,,
National University of Pharmacy,Ukraine,,Reporter,,,,,,
National University “Yuri Kondratyuk Poltava Polytechnic”,Ukraine,,Reporter,,,,,,
New Model Institute for Technology and Engineering (NMITE),United Kingdom,,Reporter,,,,,,
Norwich University of the Arts,United Kingdom,,Reporter,,,,,,
O.M. Beketov National University of Urban Economy in Kharkiv,Ukraine,,Reporter,,,,,,
Odesa National Maritime University,Ukraine,,Reporter,,,,,,
Odesa Polytechnic National University,Ukraine,,Reporter,,,,,,
Omsk State Agrarian University,Russian Federation,1618,Reporter,,,,,,
Orel State Agrarian University named after N.V. Parahin,Russian Federation,,Reporter,,,,,,
Orel State University named after I.S. Turgenev,Russian Federation,,Reporter,,,,,,
Ostrogradsky National University of Kremenchuk,Ukraine,,Reporter,,,,,,
Pacific National University,Russian Federation,,Reporter,,,,,,
Panteion University of Social and Political Sciences,Greece,,Reporter,,,,,,
Panthéon-Assas University (Paris 2),France,569,Reporter,,,,,,
Pavlo Tychyna Uman State Pedagogical University,Ukraine,,Reporter,,,,,,
Petroleum Higher School,Russian Federation,,Reporter,,,,,,
Piri Reis University,Turkey,,Reporter,,,,,,
Platov South-Russian State Polytechnic University (NPI),Russian Federation,,Reporter,,,,,,
Plymouth Marjon University,United Kingdom,,Reporter,,,,,,
Polis University,Albania,,Reporter,,,,,,
Polissia National University,Ukraine,,Reporter,,,,,,
Poltava State Medical University,Ukraine,,Reporter,,,,,,
Poltava V.G. Korolenko National Pedagogical University (PNPU),Ukraine,,Reporter,,,,,,
Polytechnic of Guarda,Portugal,,Reporter,,,,,,
